,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y,min_duration,age_bin,pdays_contacted
9731,43,services,married,secondary,no,861,yes,no,unknown,9,jun,1,0,0,unknown,0,1.3,"(33.0, 48.0]",0
32546,30,services,married,secondary,no,249,yes,no,cellular,17,apr,1,275,2,failure,0,4.9,"(17.925, 33.0]",1
23313,58,retired,married,secondary,no,413,no,no,cellular,27,aug,5,0,0,unknown,0,1.7333333333333334,"(48.0, 63.0]",0
23374,54,self-employed,married,unknown,no,204,no,no,cellular,27,aug,5,0,0,unknown,0,3.85,"(48.0, 63.0]",0
5568,27,admin.,single,secondary,no,1492,yes,no,unknown,23,may,13,0,0,unknown,0,1.1166666666666667,"(17.925, 33.0]",0
40783,45,management,married,tertiary,no,3857,yes,no,cellular,11,aug,2,190,1,failure,0,7.083333333333333,"(33.0, 48.0]",1
21749,50,technician,married,tertiary,no,329,no,no,cellular,19,aug,4,0,0,unknown,0,5.483333333333333,"(48.0, 63.0]",0
898,49,admin.,married,secondary,no,326,yes,no,unknown,7,may,2,0,0,unknown,0,1.65,"(48.0, 63.0]",0
34226,28,blue-collar,single,tertiary,no,1984,yes,no,cellular,4,may,2,14,1,failure,0,0.5333333333333333,"(17.925, 33.0]",1
40892,34,technician,married,secondary,no,256,yes,no,cellular,12,aug,2,267,1,failure,0,3.35,"(33.0, 48.0]",1
314,33,admin.,single,tertiary,no,193,no,no,unknown,5,may,2,0,0,unknown,0,2.2,"(17.925, 33.0]",0
17663,36,unemployed,married,secondary,no,-129,yes,no,cellular,29,jul,3,0,0,unknown,0,2.0166666666666666,"(33.0, 48.0]",0
8510,27,admin.,single,secondary,no,691,yes,no,unknown,3,jun,2,0,0,unknown,0,6.966666666666667,"(17.925, 33.0]",0
8454,40,retired,single,secondary,no,1734,yes,no,unknown,3,jun,4,0,0,unknown,0,2.05,"(33.0, 48.0]",0
29581,34,blue-collar,married,secondary,no,563,no,yes,cellular,3,feb,2,0,0,unknown,0,2.5,"(33.0, 48.0]",0
10159,47,blue-collar,married,secondary,no,303,no,no,unknown,11,jun,1,0,0,unknown,0,4.35,"(33.0, 48.0]",0
2943,40,blue-collar,married,secondary,no,1313,no,no,unknown,14,may,1,0,0,unknown,0,1.45,"(33.0, 48.0]",0
32270,56,blue-collar,single,secondary,no,6483,yes,no,cellular,16,apr,2,0,0,unknown,0,2.0833333333333335,"(48.0, 63.0]",0
19766,60,management,married,tertiary,no,73,no,no,telephone,8,aug,2,0,0,unknown,1,4.05,"(48.0, 63.0]",0
1000,47,admin.,married,unknown,no,0,yes,no,unknown,7,may,1,0,0,unknown,0,2.7333333333333334,"(33.0, 48.0]",0
13399,54,management,married,secondary,no,4816,no,yes,cellular,9,jul,1,0,0,unknown,0,6.766666666666667,"(48.0, 63.0]",0
15331,31,student,single,tertiary,no,117,yes,no,telephone,18,jul,1,0,0,unknown,0,0.6833333333333333,"(17.925, 33.0]",0
40499,52,management,single,tertiary,no,37,no,no,cellular,7,jul,1,0,0,unknown,0,21.4,"(48.0, 63.0]",0
44583,24,student,single,secondary,no,431,no,no,cellular,19,aug,11,185,5,success,1,6.966666666666667,"(17.925, 33.0]",1
13926,30,services,married,secondary,no,5,no,yes,cellular,10,jul,5,0,0,unknown,1,13.816666666666666,"(17.925, 33.0]",0
36115,46,blue-collar,married,primary,no,-339,yes,yes,cellular,11,may,2,0,0,unknown,0,3.033333333333333,"(33.0, 48.0]",0
2135,45,admin.,married,secondary,no,171,yes,no,unknown,12,may,1,0,0,unknown,0,8.983333333333333,"(33.0, 48.0]",0
39957,40,student,single,secondary,no,595,yes,no,cellular,3,jun,2,0,0,unknown,1,6.766666666666667,"(33.0, 48.0]",0
37747,32,admin.,married,secondary,no,684,yes,no,cellular,14,may,3,0,0,unknown,1,10.116666666666667,"(17.925, 33.0]",0
17298,26,services,married,secondary,no,4,yes,no,cellular,28,jul,2,0,0,unknown,0,3.35,"(17.925, 33.0]",0
43551,35,technician,married,tertiary,no,0,yes,yes,cellular,26,apr,3,363,2,failure,0,2.25,"(33.0, 48.0]",1
30039,53,entrepreneur,married,secondary,no,230,yes,no,cellular,4,feb,2,250,1,other,0,0.9333333333333333,"(48.0, 63.0]",1
23058,49,management,married,tertiary,no,108,no,no,cellular,26,aug,6,0,0,unknown,0,3.5,"(48.0, 63.0]",0
20160,52,blue-collar,married,primary,no,0,no,no,cellular,11,aug,4,0,0,unknown,0,2.9833333333333334,"(48.0, 63.0]",0
21746,41,technician,single,tertiary,no,15302,no,no,cellular,19,aug,4,0,0,unknown,0,2.0166666666666666,"(33.0, 48.0]",0
3789,57,admin.,married,secondary,no,4168,yes,yes,unknown,16,may,1,0,0,unknown,0,0.7833333333333333,"(48.0, 63.0]",0
10894,51,blue-collar,married,primary,no,48,no,yes,unknown,17,jun,1,0,0,unknown,0,2.1666666666666665,"(48.0, 63.0]",0
36126,31,services,single,secondary,no,166,yes,no,cellular,11,may,1,0,0,unknown,0,3.783333333333333,"(17.925, 33.0]",0
26360,36,management,married,tertiary,no,11675,yes,no,cellular,20,nov,1,0,0,unknown,0,0.8,"(33.0, 48.0]",0
13314,35,retired,married,primary,no,329,no,yes,cellular,8,jul,3,0,0,unknown,0,8.666666666666666,"(33.0, 48.0]",0
21247,49,blue-collar,married,primary,no,154,yes,no,cellular,18,aug,15,0,0,unknown,0,0.43333333333333335,"(48.0, 63.0]",0
31942,35,entrepreneur,married,tertiary,no,7962,yes,no,cellular,9,apr,2,140,2,failure,0,4.583333333333333,"(33.0, 48.0]",1
37569,31,management,married,secondary,no,466,yes,no,cellular,14,may,1,0,0,unknown,0,2.7333333333333334,"(17.925, 33.0]",0
37720,37,blue-collar,married,unknown,no,969,yes,no,cellular,14,may,2,0,0,unknown,0,5.716666666666667,"(33.0, 48.0]",0
42927,32,technician,married,tertiary,no,2976,yes,no,cellular,5,feb,1,175,5,failure,1,13.05,"(17.925, 33.0]",1
9141,41,admin.,married,secondary,no,4320,yes,no,unknown,5,jun,2,0,0,unknown,0,4.083333333333333,"(33.0, 48.0]",0
4326,30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,6,0,0,unknown,1,16.116666666666667,"(17.925, 33.0]",0
30915,36,self-employed,married,secondary,no,1245,yes,no,cellular,9,feb,7,248,9,success,0,0.13333333333333333,"(33.0, 48.0]",1
30136,33,blue-collar,married,secondary,no,315,no,no,cellular,4,feb,3,0,0,unknown,1,2.433333333333333,"(17.925, 33.0]",0
33281,51,technician,single,secondary,no,1153,yes,no,cellular,20,apr,5,0,0,unknown,0,1.2666666666666666,"(48.0, 63.0]",0
23835,32,management,single,tertiary,no,0,no,no,cellular,29,aug,2,0,0,unknown,0,1.05,"(17.925, 33.0]",0
31470,40,blue-collar,married,primary,no,442,yes,no,cellular,1,apr,1,0,0,unknown,0,3.533333333333333,"(33.0, 48.0]",0
21620,43,management,single,tertiary,no,483,no,no,cellular,19,aug,6,0,0,unknown,1,15.833333333333334,"(33.0, 48.0]",0
4035,34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,4,0,0,unknown,1,17.733333333333334,"(33.0, 48.0]",0
10423,40,housemaid,married,secondary,no,84,yes,yes,unknown,12,jun,7,0,0,unknown,0,3.8333333333333335,"(33.0, 48.0]",0
44539,51,blue-collar,married,secondary,no,2007,yes,no,cellular,12,aug,3,0,0,unknown,1,20.433333333333334,"(48.0, 63.0]",0
40436,58,housemaid,divorced,secondary,no,0,no,no,cellular,2,jul,2,0,0,unknown,1,7.966666666666667,"(48.0, 63.0]",0
26397,47,services,married,secondary,no,1315,no,no,cellular,20,nov,4,0,0,unknown,1,5.483333333333333,"(33.0, 48.0]",0
14165,52,management,married,tertiary,no,698,yes,no,cellular,11,jul,2,0,0,unknown,0,3.55,"(48.0, 63.0]",0
8249,53,management,married,tertiary,no,6525,yes,no,unknown,2,jun,3,0,0,unknown,0,1.2166666666666666,"(48.0, 63.0]",0
5522,32,blue-collar,married,secondary,no,736,yes,no,unknown,23,may,3,0,0,unknown,0,11.666666666666666,"(17.925, 33.0]",0
13889,32,technician,married,secondary,no,0,yes,yes,cellular,10,jul,1,0,0,unknown,0,7.133333333333334,"(17.925, 33.0]",0
41149,49,technician,single,secondary,no,9131,yes,no,cellular,18,aug,1,461,5,failure,1,8.866666666666667,"(48.0, 63.0]",1
35926,57,technician,divorced,primary,no,13,yes,no,cellular,8,may,2,368,2,failure,0,5.383333333333334,"(48.0, 63.0]",1
44709,38,management,married,tertiary,no,14352,no,no,unknown,6,sep,1,0,0,unknown,0,0.13333333333333333,"(33.0, 48.0]",0
36597,32,technician,married,secondary,no,-410,yes,yes,cellular,12,may,3,0,0,unknown,0,2.9833333333333334,"(17.925, 33.0]",0
34204,20,student,married,unknown,no,292,no,no,cellular,4,may,1,0,0,unknown,0,0.75,"(17.925, 33.0]",0
30856,32,admin.,divorced,secondary,no,298,yes,no,cellular,9,feb,4,0,0,unknown,0,0.2,"(17.925, 33.0]",0
19633,33,management,married,tertiary,no,3915,no,no,cellular,7,aug,4,0,0,unknown,0,1.0833333333333333,"(17.925, 33.0]",0
42908,30,student,single,unknown,no,145,no,no,cellular,5,feb,3,175,1,failure,0,1.6,"(17.925, 33.0]",1
10688,37,entrepreneur,married,tertiary,no,264,yes,yes,unknown,16,jun,1,0,0,unknown,0,3.6666666666666665,"(33.0, 48.0]",0
17049,34,technician,married,secondary,no,0,yes,no,cellular,25,jul,3,0,0,unknown,0,2.35,"(33.0, 48.0]",0
3617,32,admin.,single,secondary,no,289,no,no,unknown,15,may,12,0,0,unknown,0,4.25,"(17.925, 33.0]",0
29183,36,management,married,tertiary,no,82,no,no,cellular,2,feb,1,178,4,success,0,2.066666666666667,"(33.0, 48.0]",1
17099,49,admin.,divorced,secondary,no,560,yes,no,cellular,25,jul,3,0,0,unknown,0,1.4166666666666667,"(48.0, 63.0]",0
23342,49,technician,married,secondary,yes,410,no,no,cellular,27,aug,7,0,0,unknown,0,1.95,"(48.0, 63.0]",0
2624,53,admin.,divorced,secondary,no,887,yes,no,unknown,13,may,2,0,0,unknown,0,2.816666666666667,"(48.0, 63.0]",0
40496,53,management,divorced,tertiary,no,6649,yes,no,cellular,7,jul,1,0,0,unknown,0,1.3833333333333333,"(48.0, 63.0]",0
44501,56,technician,divorced,secondary,no,3450,no,no,cellular,10,aug,1,181,2,success,1,8.45,"(48.0, 63.0]",1
12422,50,blue-collar,married,secondary,no,3988,no,no,unknown,30,jun,4,0,0,unknown,0,2.75,"(48.0, 63.0]",0
29253,31,unemployed,single,primary,no,1,no,no,cellular,2,feb,6,0,0,unknown,0,0.31666666666666665,"(17.925, 33.0]",0
43944,75,retired,married,primary,no,962,no,no,cellular,17,jun,1,0,0,unknown,0,5.733333333333333,"(63.0, 78.0]",0
41528,34,management,married,tertiary,no,158,no,no,cellular,9,sep,2,132,4,failure,1,4.633333333333334,"(33.0, 48.0]",1
17815,56,retired,divorced,secondary,no,-82,no,yes,cellular,29,jul,6,0,0,unknown,0,3.9,"(48.0, 63.0]",0
28326,56,management,single,tertiary,no,545,yes,no,cellular,29,jan,1,0,0,unknown,0,1.4333333333333333,"(48.0, 63.0]",0
39157,44,technician,single,secondary,no,59,yes,no,cellular,18,may,4,341,19,failure,0,0.15,"(33.0, 48.0]",1
4519,38,services,married,secondary,no,434,yes,no,unknown,20,may,1,0,0,unknown,0,6.85,"(33.0, 48.0]",0
30169,51,technician,divorced,primary,no,300,no,yes,cellular,5,feb,6,0,0,unknown,0,0.13333333333333333,"(48.0, 63.0]",0
9920,42,management,single,tertiary,no,1206,no,no,unknown,9,jun,4,0,0,unknown,0,2.2666666666666666,"(33.0, 48.0]",0
30948,37,management,married,tertiary,no,784,yes,no,cellular,9,feb,3,0,0,unknown,0,0.6833333333333333,"(33.0, 48.0]",0
7070,26,blue-collar,married,secondary,no,245,yes,no,unknown,28,may,2,0,0,unknown,0,2.433333333333333,"(17.925, 33.0]",0
27995,43,blue-collar,married,secondary,no,1035,no,no,cellular,28,jan,1,0,0,unknown,0,2.033333333333333,"(33.0, 48.0]",0
8090,31,management,single,tertiary,no,1475,yes,yes,unknown,2,jun,1,0,0,unknown,0,1.2666666666666666,"(17.925, 33.0]",0
43013,36,technician,married,tertiary,no,341,no,no,cellular,12,feb,2,183,1,success,1,6.983333333333333,"(33.0, 48.0]",1
42269,46,management,married,tertiary,no,2671,no,no,cellular,13,nov,3,91,4,success,0,3.0,"(33.0, 48.0]",1
43979,27,management,single,tertiary,no,6791,no,no,cellular,24,jun,5,94,30,failure,0,2.2666666666666666,"(17.925, 33.0]",1
24046,37,management,divorced,tertiary,no,199,yes,no,unknown,18,oct,1,0,0,unknown,0,0.8333333333333334,"(33.0, 48.0]",0
16468,36,management,married,tertiary,no,699,no,no,cellular,23,jul,1,0,0,unknown,0,2.0833333333333335,"(33.0, 48.0]",0
14009,27,entrepreneur,married,tertiary,no,-23,no,no,cellular,10,jul,4,0,0,unknown,0,2.05,"(17.925, 33.0]",0
31682,41,technician,married,secondary,no,2185,yes,no,cellular,7,apr,4,309,4,other,0,2.6166666666666667,"(33.0, 48.0]",1
24939,44,management,married,tertiary,no,318,no,no,cellular,18,nov,2,0,0,unknown,0,10.633333333333333,"(33.0, 48.0]",0
20398,32,management,single,tertiary,no,715,no,no,cellular,11,aug,1,0,0,unknown,0,2.65,"(17.925, 33.0]",0
31622,24,student,single,secondary,no,1684,no,no,cellular,6,apr,4,0,0,unknown,0,1.8666666666666667,"(17.925, 33.0]",0
9538,60,housemaid,married,unknown,no,10285,no,no,unknown,6,jun,2,0,0,unknown,0,2.9,"(48.0, 63.0]",0
842,31,technician,single,secondary,no,147,yes,no,unknown,7,may,1,0,0,unknown,0,6.233333333333333,"(17.925, 33.0]",0
17054,57,management,divorced,tertiary,no,909,yes,no,cellular,25,jul,2,0,0,unknown,0,2.45,"(48.0, 63.0]",0
26208,34,blue-collar,single,secondary,no,3043,yes,yes,cellular,20,nov,1,0,0,unknown,1,11.166666666666666,"(33.0, 48.0]",0
16922,31,management,married,tertiary,no,430,yes,no,cellular,25,jul,16,0,0,unknown,0,2.283333333333333,"(17.925, 33.0]",0
13988,46,blue-collar,married,primary,no,1,yes,yes,telephone,10,jul,7,0,0,unknown,0,4.5,"(33.0, 48.0]",0
27234,44,management,married,tertiary,no,4119,yes,yes,telephone,21,nov,1,0,0,unknown,1,17.9,"(33.0, 48.0]",0
22405,35,management,married,tertiary,no,-126,no,no,cellular,22,aug,2,0,0,unknown,0,1.3666666666666667,"(33.0, 48.0]",0
14449,30,technician,married,secondary,no,-287,yes,no,cellular,14,jul,3,0,0,unknown,0,4.066666666666666,"(17.925, 33.0]",0
15000,37,technician,married,secondary,no,1142,yes,no,cellular,17,jul,2,0,0,unknown,0,5.15,"(33.0, 48.0]",0
33218,42,management,married,tertiary,no,72,yes,no,cellular,20,apr,2,348,3,failure,0,2.066666666666667,"(33.0, 48.0]",1
38864,33,services,married,secondary,no,-52,yes,no,cellular,18,may,1,0,0,unknown,0,4.633333333333334,"(17.925, 33.0]",0
23417,50,housemaid,married,primary,no,238,no,no,cellular,27,aug,5,0,0,unknown,0,16.133333333333333,"(48.0, 63.0]",0
17666,41,admin.,divorced,secondary,no,261,yes,no,cellular,29,jul,15,0,0,unknown,0,13.283333333333333,"(33.0, 48.0]",0
7870,41,admin.,married,secondary,no,8238,yes,yes,unknown,30,may,4,0,0,unknown,0,2.066666666666667,"(33.0, 48.0]",0
28589,45,admin.,married,primary,no,-407,yes,yes,cellular,29,jan,2,224,18,other,0,8.383333333333333,"(33.0, 48.0]",1
23734,30,technician,single,secondary,no,3,no,no,cellular,28,aug,6,0,0,unknown,0,0.35,"(17.925, 33.0]",0
42221,53,management,married,tertiary,no,1624,no,no,cellular,11,nov,3,97,7,success,1,2.7666666666666666,"(48.0, 63.0]",1
