age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,min_duration,age_bin,pdays_contacted
37,management,married,tertiary,no,789,yes,yes,cellular,11,aug,1,190,2,other,1.55,"(33.0, 48.0]",1
52,blue-collar,married,primary,no,134,yes,no,cellular,15,may,2,295,3,failure,1.35,"(48.0, 63.0]",1
53,admin.,divorced,secondary,no,-163,yes,no,cellular,17,apr,2,343,2,other,5.733333333333333,"(48.0, 63.0]",1
43,management,married,tertiary,no,676,no,no,cellular,25,aug,4,0,0,unknown,2.3833333333333333,"(33.0, 48.0]",0
53,blue-collar,married,secondary,no,175,yes,no,unknown,8,may,4,0,0,unknown,0.8166666666666667,"(48.0, 63.0]",0
27,management,single,tertiary,no,2559,yes,no,cellular,6,may,1,0,0,unknown,3.783333333333333,"(17.925, 33.0]",0
44,self-employed,married,tertiary,no,292,yes,no,unknown,6,may,1,0,0,unknown,2.7,"(33.0, 48.0]",0
40,unemployed,single,tertiary,no,7968,no,no,cellular,2,jun,1,0,0,unknown,9.933333333333334,"(33.0, 48.0]",0
58,management,married,unknown,no,1065,yes,no,unknown,5,may,3,0,0,unknown,3.55,"(48.0, 63.0]",0
29,services,single,secondary,no,153,no,no,cellular,15,jul,2,0,0,unknown,12.233333333333333,"(17.925, 33.0]",0
29,student,single,tertiary,no,80,yes,no,cellular,15,may,5,361,1,failure,0.25,"(17.925, 33.0]",1
33,management,married,tertiary,no,1602,no,no,cellular,21,nov,3,0,0,unknown,0.7333333333333333,"(17.925, 33.0]",0
29,entrepreneur,married,secondary,no,178,yes,no,cellular,5,may,4,0,0,unknown,3.85,"(17.925, 33.0]",0
47,blue-collar,married,secondary,no,3008,yes,yes,unknown,15,may,3,0,0,unknown,3.933333333333333,"(33.0, 48.0]",0
28,management,single,secondary,no,967,yes,no,cellular,20,apr,1,334,1,failure,2.9,"(17.925, 33.0]",1
36,admin.,married,tertiary,no,157,yes,no,cellular,17,apr,2,0,0,unknown,4.616666666666666,"(33.0, 48.0]",0
46,blue-collar,married,primary,yes,575,no,no,cellular,6,aug,3,0,0,unknown,2.1166666666666667,"(33.0, 48.0]",0
50,blue-collar,divorced,secondary,no,-54,no,no,cellular,24,jul,3,0,0,unknown,8.55,"(48.0, 63.0]",0
39,management,married,tertiary,no,224,no,no,cellular,20,aug,2,0,0,unknown,6.9,"(33.0, 48.0]",0
39,blue-collar,married,secondary,no,72,yes,no,unknown,7,may,6,0,0,unknown,7.083333333333333,"(33.0, 48.0]",0
35,management,married,primary,no,-326,yes,yes,cellular,20,nov,2,0,0,unknown,8.633333333333333,"(33.0, 48.0]",0
50,admin.,divorced,secondary,no,124,yes,yes,cellular,14,may,2,289,19,failure,6.116666666666666,"(48.0, 63.0]",1
41,management,married,tertiary,no,725,no,no,cellular,26,aug,10,0,0,unknown,7.666666666666667,"(33.0, 48.0]",0
31,management,married,tertiary,no,0,no,no,cellular,11,aug,2,0,0,unknown,1.4,"(17.925, 33.0]",0
47,services,married,secondary,no,1073,no,no,telephone,11,jul,3,0,0,unknown,8.633333333333333,"(33.0, 48.0]",0
37,retired,married,secondary,no,-252,no,no,cellular,22,jul,3,0,0,unknown,7.3,"(33.0, 48.0]",0
42,services,married,secondary,no,174,yes,no,cellular,11,may,1,0,0,unknown,1.1166666666666667,"(33.0, 48.0]",0
52,technician,married,secondary,no,5303,yes,no,unknown,19,oct,1,0,0,unknown,2.216666666666667,"(48.0, 63.0]",0
49,unemployed,married,primary,no,157,yes,no,cellular,2,feb,2,0,0,unknown,2.183333333333333,"(48.0, 63.0]",0
37,blue-collar,married,secondary,no,7,yes,yes,cellular,7,may,1,0,0,unknown,5.6,"(33.0, 48.0]",0
49,entrepreneur,divorced,tertiary,no,1342,yes,yes,cellular,7,apr,1,140,1,failure,4.216666666666667,"(48.0, 63.0]",1
28,admin.,married,secondary,no,568,yes,no,cellular,4,feb,6,252,4,other,0.18333333333333332,"(17.925, 33.0]",1
48,blue-collar,married,primary,no,-83,no,no,cellular,14,aug,3,0,0,unknown,2.2666666666666666,"(33.0, 48.0]",0
31,technician,single,secondary,no,7567,no,no,cellular,11,aug,2,0,0,unknown,1.1666666666666667,"(17.925, 33.0]",0
31,entrepreneur,married,tertiary,no,312,no,no,cellular,29,jan,2,0,0,unknown,7.8,"(17.925, 33.0]",0
37,admin.,married,secondary,no,250,yes,no,cellular,10,aug,1,0,0,unknown,1.1666666666666667,"(33.0, 48.0]",0
59,admin.,divorced,secondary,no,636,no,no,cellular,12,aug,4,0,0,unknown,1.5166666666666666,"(48.0, 63.0]",0
43,services,single,tertiary,no,553,no,no,cellular,11,may,1,0,0,unknown,5.383333333333334,"(33.0, 48.0]",0
36,admin.,married,secondary,no,194,yes,yes,cellular,7,sep,3,0,0,unknown,2.0,"(33.0, 48.0]",0
34,technician,single,tertiary,no,122,no,no,unknown,27,may,5,0,0,unknown,1.2166666666666666,"(33.0, 48.0]",0
39,blue-collar,married,secondary,no,366,yes,no,cellular,28,jul,5,0,0,unknown,9.183333333333334,"(33.0, 48.0]",0
40,management,married,tertiary,no,60,no,no,unknown,16,jun,6,0,0,unknown,2.8666666666666667,"(33.0, 48.0]",0
47,services,married,secondary,no,2322,no,no,cellular,22,aug,1,0,0,unknown,10.3,"(33.0, 48.0]",0
31,management,married,tertiary,no,315,no,no,cellular,29,aug,4,0,0,unknown,1.8166666666666667,"(17.925, 33.0]",0
33,technician,married,secondary,no,1,yes,no,cellular,15,mar,4,0,0,unknown,4.35,"(17.925, 33.0]",0
36,admin.,married,secondary,no,0,yes,no,unknown,27,may,2,0,0,unknown,9.633333333333333,"(33.0, 48.0]",0
31,management,divorced,tertiary,no,297,no,no,cellular,12,aug,1,0,0,unknown,2.1166666666666667,"(17.925, 33.0]",0
49,housemaid,married,secondary,no,3570,no,no,cellular,24,dec,3,202,2,failure,1.0333333333333334,"(48.0, 63.0]",1
50,blue-collar,married,primary,no,260,yes,no,unknown,12,jun,1,0,0,unknown,3.95,"(48.0, 63.0]",0
60,retired,married,secondary,no,372,no,no,cellular,28,jan,2,0,0,unknown,7.483333333333333,"(48.0, 63.0]",0
41,blue-collar,married,primary,no,509,yes,no,unknown,30,jun,3,0,0,unknown,2.433333333333333,"(33.0, 48.0]",0
45,blue-collar,married,primary,no,4170,yes,yes,unknown,20,may,3,0,0,unknown,1.9,"(33.0, 48.0]",0
58,management,married,secondary,no,407,yes,no,cellular,29,jul,2,0,0,unknown,2.4166666666666665,"(48.0, 63.0]",0
34,services,single,secondary,no,0,yes,no,unknown,5,may,1,0,0,unknown,2.3666666666666667,"(33.0, 48.0]",0
55,technician,divorced,secondary,no,225,no,yes,cellular,14,jul,2,0,0,unknown,1.9333333333333333,"(48.0, 63.0]",0
43,blue-collar,married,secondary,no,1149,no,no,telephone,29,jul,2,0,0,unknown,3.95,"(33.0, 48.0]",0
51,admin.,married,secondary,no,0,no,no,cellular,21,jul,1,0,0,unknown,2.1666666666666665,"(48.0, 63.0]",0
49,services,married,secondary,no,1114,no,no,cellular,17,nov,1,0,0,unknown,4.716666666666667,"(48.0, 63.0]",0
36,admin.,divorced,secondary,no,543,yes,no,cellular,11,may,3,0,0,unknown,1.1,"(33.0, 48.0]",0
36,management,married,tertiary,no,163,no,no,cellular,6,aug,2,0,0,unknown,5.183333333333334,"(33.0, 48.0]",0
39,technician,single,secondary,no,300,no,no,cellular,10,sep,6,394,1,failure,5.25,"(33.0, 48.0]",1
50,services,married,secondary,no,57435,yes,no,cellular,21,nov,3,0,0,unknown,5.316666666666666,"(48.0, 63.0]",0
42,unknown,married,secondary,no,703,yes,no,cellular,10,jul,1,0,0,unknown,3.5,"(33.0, 48.0]",0
27,technician,single,secondary,no,337,no,no,unknown,9,jul,1,0,0,unknown,0.38333333333333336,"(17.925, 33.0]",0
56,retired,married,secondary,no,728,no,no,cellular,18,nov,2,110,15,failure,2.716666666666667,"(48.0, 63.0]",1
74,retired,married,primary,no,1413,no,no,cellular,25,feb,2,0,0,unknown,6.416666666666667,"(63.0, 78.0]",0
54,retired,married,secondary,no,2626,no,no,unknown,13,may,2,0,0,unknown,2.5166666666666666,"(48.0, 63.0]",0
52,management,married,tertiary,no,1564,yes,no,cellular,17,jul,1,0,0,unknown,8.216666666666667,"(48.0, 63.0]",0
26,services,married,secondary,no,-379,yes,yes,cellular,22,jul,7,0,0,unknown,20.616666666666667,"(17.925, 33.0]",0
40,management,married,tertiary,no,2147,yes,no,unknown,30,may,1,0,0,unknown,1.9166666666666667,"(33.0, 48.0]",0
34,blue-collar,married,secondary,no,763,yes,no,unknown,27,may,1,0,0,unknown,1.65,"(33.0, 48.0]",0
35,blue-collar,married,secondary,no,-701,yes,yes,cellular,7,may,3,0,0,unknown,8.85,"(33.0, 48.0]",0
54,unemployed,married,tertiary,no,0,no,yes,unknown,3,jul,1,0,0,unknown,3.1333333333333333,"(48.0, 63.0]",0
45,admin.,married,secondary,no,236,no,no,cellular,20,aug,2,0,0,unknown,11.716666666666667,"(33.0, 48.0]",0
44,blue-collar,married,primary,no,8,no,no,cellular,28,jan,1,0,0,unknown,8.85,"(33.0, 48.0]",0
52,retired,married,primary,no,537,no,no,unknown,9,jun,1,0,0,unknown,1.4166666666666667,"(48.0, 63.0]",0
37,admin.,married,secondary,no,176,yes,no,cellular,5,may,2,347,1,failure,2.45,"(33.0, 48.0]",1
46,admin.,married,secondary,no,1264,no,no,telephone,28,jan,2,0,0,unknown,1.6666666666666667,"(33.0, 48.0]",0
49,services,single,secondary,no,5028,yes,no,unknown,12,may,1,0,0,unknown,14.85,"(48.0, 63.0]",0
45,services,married,secondary,no,0,no,yes,cellular,8,jul,7,0,0,unknown,0.7833333333333333,"(33.0, 48.0]",0
33,admin.,married,secondary,no,543,yes,no,cellular,7,may,2,0,0,unknown,4.066666666666666,"(17.925, 33.0]",0
56,retired,married,secondary,no,74,yes,no,unknown,26,may,2,0,0,unknown,2.533333333333333,"(48.0, 63.0]",0
35,technician,divorced,tertiary,no,20,yes,yes,cellular,7,aug,2,0,0,unknown,0.85,"(33.0, 48.0]",0
42,blue-collar,divorced,primary,no,213,yes,no,cellular,7,jul,3,0,0,unknown,7.233333333333333,"(33.0, 48.0]",0
23,student,single,secondary,no,834,yes,no,cellular,6,may,3,0,0,unknown,4.716666666666667,"(17.925, 33.0]",0
55,housemaid,single,primary,no,0,no,no,unknown,5,jun,1,0,0,unknown,4.116666666666666,"(48.0, 63.0]",0
61,retired,married,secondary,no,4248,yes,no,unknown,14,may,1,0,0,unknown,1.1833333333333333,"(48.0, 63.0]",0
54,technician,married,secondary,no,324,yes,no,telephone,13,may,1,0,0,unknown,0.85,"(48.0, 63.0]",0
58,services,divorced,secondary,no,462,no,no,cellular,12,aug,1,0,0,unknown,5.533333333333333,"(48.0, 63.0]",0
50,blue-collar,married,primary,no,61,yes,no,unknown,5,may,3,0,0,unknown,10.35,"(48.0, 63.0]",0
32,management,single,tertiary,no,0,yes,yes,cellular,17,nov,2,0,0,unknown,1.7833333333333334,"(17.925, 33.0]",0
44,management,married,tertiary,no,1788,no,no,cellular,5,aug,2,0,0,unknown,2.7666666666666666,"(33.0, 48.0]",0
39,blue-collar,married,secondary,no,180,yes,no,cellular,16,apr,1,0,0,unknown,3.95,"(33.0, 48.0]",0
48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,1,0,0,unknown,13.866666666666667,"(33.0, 48.0]",0
32,management,single,tertiary,no,2,yes,no,cellular,11,sep,2,0,0,unknown,1.6666666666666667,"(17.925, 33.0]",0
35,management,married,tertiary,no,489,yes,no,cellular,17,jul,3,0,0,unknown,1.8166666666666667,"(33.0, 48.0]",0
52,management,single,tertiary,no,37,no,no,cellular,7,jul,1,0,0,unknown,21.4,"(48.0, 63.0]",0
33,blue-collar,married,secondary,no,7048,yes,no,cellular,17,apr,2,0,0,unknown,1.1833333333333333,"(17.925, 33.0]",0
27,blue-collar,married,primary,no,202,no,yes,cellular,22,jul,1,0,0,unknown,0.6833333333333333,"(17.925, 33.0]",0
39,management,married,tertiary,no,588,yes,yes,cellular,2,feb,2,0,0,unknown,37.6,"(33.0, 48.0]",0
39,technician,married,secondary,no,1986,no,no,cellular,12,aug,6,0,0,unknown,3.6166666666666667,"(33.0, 48.0]",0
28,admin.,single,secondary,no,305,yes,no,telephone,18,jul,1,0,0,unknown,4.616666666666666,"(17.925, 33.0]",0
64,retired,married,primary,no,445,no,no,cellular,26,oct,3,186,1,other,5.633333333333334,"(63.0, 78.0]",1
41,blue-collar,married,primary,no,54,yes,no,cellular,10,jul,1,0,0,unknown,2.0166666666666666,"(33.0, 48.0]",0
45,blue-collar,married,primary,no,179,no,no,cellular,25,aug,3,0,0,unknown,2.033333333333333,"(33.0, 48.0]",0
32,self-employed,single,tertiary,no,-98,no,yes,cellular,21,nov,2,0,0,unknown,2.6166666666666667,"(17.925, 33.0]",0
34,management,single,tertiary,no,1228,no,no,cellular,30,apr,2,84,8,success,9.666666666666666,"(33.0, 48.0]",1
47,self-employed,married,tertiary,no,2303,yes,no,cellular,6,may,2,364,1,failure,5.383333333333334,"(33.0, 48.0]",1
31,admin.,divorced,secondary,no,47,yes,no,unknown,19,may,9,0,0,unknown,0.5666666666666667,"(17.925, 33.0]",0
32,blue-collar,married,tertiary,no,143,yes,yes,cellular,18,may,1,0,0,unknown,1.5,"(17.925, 33.0]",0
33,self-employed,single,tertiary,no,658,yes,no,cellular,12,apr,1,173,2,success,1.55,"(17.925, 33.0]",1
44,admin.,married,secondary,no,10905,no,no,cellular,19,aug,2,271,1,other,4.0,"(33.0, 48.0]",1
39,technician,single,secondary,no,-529,yes,no,cellular,15,may,8,175,5,failure,0.36666666666666664,"(33.0, 48.0]",1
32,services,married,secondary,no,364,yes,no,unknown,20,may,1,0,0,unknown,7.766666666666667,"(17.925, 33.0]",0
36,management,single,tertiary,no,546,yes,no,cellular,6,aug,3,0,0,unknown,1.5166666666666666,"(33.0, 48.0]",0
47,technician,single,secondary,no,736,no,no,cellular,29,jul,2,0,0,unknown,3.533333333333333,"(33.0, 48.0]",0
33,admin.,single,tertiary,no,193,no,no,unknown,5,may,2,0,0,unknown,2.2,"(17.925, 33.0]",0
47,blue-collar,married,unknown,no,30,no,yes,cellular,23,jul,2,0,0,unknown,8.3,"(33.0, 48.0]",0
49,management,married,tertiary,no,5887,no,no,cellular,4,dec,3,185,5,success,7.316666666666666,"(48.0, 63.0]",1
58,blue-collar,married,unknown,no,9,no,no,cellular,25,aug,23,0,0,unknown,0.8333333333333334,"(48.0, 63.0]",0
49,services,married,secondary,no,653,no,no,cellular,11,aug,2,0,0,unknown,5.283333333333333,"(48.0, 63.0]",0
48,management,married,unknown,no,0,yes,no,cellular,8,may,1,344,1,other,10.2,"(33.0, 48.0]",1
32,technician,single,secondary,no,210,yes,no,cellular,16,jul,2,0,0,unknown,4.966666666666667,"(17.925, 33.0]",0
46,technician,married,secondary,no,4956,yes,no,unknown,16,may,1,0,0,unknown,1.2333333333333334,"(33.0, 48.0]",0
33,unemployed,single,secondary,no,559,yes,no,cellular,9,feb,6,0,0,unknown,0.3,"(17.925, 33.0]",0
31,admin.,single,secondary,no,8626,no,no,cellular,25,may,1,111,1,failure,2.65,"(17.925, 33.0]",1
26,services,married,secondary,no,549,no,no,unknown,3,jul,1,0,0,unknown,2.4833333333333334,"(17.925, 33.0]",0
40,blue-collar,married,primary,no,902,yes,no,unknown,15,may,4,0,0,unknown,10.316666666666666,"(33.0, 48.0]",0
56,retired,married,secondary,no,-1,yes,no,unknown,2,jun,1,0,0,unknown,0.75,"(48.0, 63.0]",0
41,management,married,secondary,no,501,no,no,cellular,6,aug,4,0,0,unknown,2.5,"(33.0, 48.0]",0
34,management,single,tertiary,no,5945,yes,no,cellular,8,may,1,170,1,failure,4.75,"(33.0, 48.0]",1
31,technician,married,tertiary,no,22,no,no,cellular,22,aug,5,0,0,unknown,2.033333333333333,"(17.925, 33.0]",0
41,management,married,tertiary,no,9935,no,no,telephone,21,nov,1,0,0,unknown,0.8166666666666667,"(33.0, 48.0]",0
36,blue-collar,married,secondary,no,777,yes,no,cellular,6,may,3,0,0,unknown,3.0833333333333335,"(33.0, 48.0]",0
29,technician,single,secondary,no,103,no,no,unknown,19,may,1,0,0,unknown,5.233333333333333,"(17.925, 33.0]",0
54,management,married,tertiary,no,1258,no,no,cellular,28,aug,14,0,0,unknown,2.55,"(48.0, 63.0]",0
43,blue-collar,married,primary,yes,-635,yes,no,unknown,20,may,9,0,0,unknown,0.6166666666666667,"(33.0, 48.0]",0
29,housemaid,married,primary,no,0,yes,no,cellular,15,jul,3,0,0,unknown,5.283333333333333,"(17.925, 33.0]",0
52,management,married,tertiary,no,0,no,no,cellular,22,aug,2,0,0,unknown,3.8666666666666667,"(48.0, 63.0]",0
25,management,single,tertiary,no,2140,no,no,cellular,1,oct,1,0,0,unknown,1.35,"(17.925, 33.0]",0
54,blue-collar,married,secondary,no,532,yes,no,unknown,14,may,1,0,0,unknown,3.6666666666666665,"(48.0, 63.0]",0
38,blue-collar,single,secondary,no,1911,yes,no,cellular,31,jul,4,0,0,unknown,1.2333333333333334,"(33.0, 48.0]",0
40,management,married,tertiary,no,3352,yes,no,cellular,19,nov,2,27,1,success,10.65,"(33.0, 48.0]",1
41,management,married,tertiary,no,0,yes,no,cellular,23,jul,3,0,0,unknown,4.75,"(33.0, 48.0]",0
32,technician,married,secondary,no,150,no,yes,cellular,7,aug,2,0,0,unknown,3.85,"(17.925, 33.0]",0
30,technician,single,tertiary,no,3,yes,no,cellular,18,nov,1,195,1,failure,0.9,"(17.925, 33.0]",1
45,management,single,tertiary,no,451,no,no,unknown,17,jun,1,0,0,unknown,14.683333333333334,"(33.0, 48.0]",0
50,management,married,tertiary,no,4904,yes,no,unknown,15,may,2,0,0,unknown,7.3,"(48.0, 63.0]",0
36,technician,single,tertiary,no,962,yes,no,cellular,8,may,1,0,0,unknown,9.466666666666667,"(33.0, 48.0]",0
35,technician,single,secondary,yes,-30,no,no,cellular,28,aug,2,0,0,unknown,0.5333333333333333,"(33.0, 48.0]",0
41,self-employed,married,secondary,no,20,no,no,unknown,5,jun,1,0,0,unknown,5.55,"(33.0, 48.0]",0
44,technician,married,secondary,no,1139,yes,no,cellular,30,jan,1,0,0,unknown,1.0666666666666667,"(33.0, 48.0]",0
43,services,married,secondary,no,978,yes,yes,unknown,26,may,2,0,0,unknown,1.3666666666666667,"(33.0, 48.0]",0
53,technician,married,secondary,no,879,no,no,cellular,5,aug,1,0,0,unknown,2.933333333333333,"(48.0, 63.0]",0
51,blue-collar,married,primary,no,804,yes,no,cellular,9,jul,1,0,0,unknown,2.933333333333333,"(48.0, 63.0]",0
35,management,single,tertiary,no,75,no,no,cellular,21,aug,5,0,0,unknown,2.033333333333333,"(33.0, 48.0]",0
21,student,single,unknown,no,1506,no,no,cellular,14,sep,1,0,0,unknown,5.666666666666667,"(17.925, 33.0]",0
42,unemployed,married,secondary,no,135,yes,no,unknown,13,may,6,0,0,unknown,4.316666666666666,"(33.0, 48.0]",0
59,housemaid,married,primary,no,418,no,no,cellular,29,aug,4,0,0,unknown,5.0,"(48.0, 63.0]",0
57,management,married,tertiary,no,2266,no,no,cellular,5,aug,1,0,0,unknown,5.1,"(48.0, 63.0]",0
57,technician,married,secondary,no,295,no,no,cellular,19,aug,11,0,0,unknown,2.5166666666666666,"(48.0, 63.0]",0
50,blue-collar,married,unknown,no,51,no,no,telephone,27,jan,3,0,0,unknown,3.316666666666667,"(48.0, 63.0]",0
43,blue-collar,married,secondary,no,1035,no,no,cellular,28,jan,1,0,0,unknown,2.033333333333333,"(33.0, 48.0]",0
74,housemaid,married,unknown,no,161,no,no,telephone,2,apr,1,0,0,unknown,4.0,"(63.0, 78.0]",0
46,technician,married,tertiary,no,675,yes,no,unknown,8,may,1,0,0,unknown,0.8333333333333334,"(33.0, 48.0]",0
61,housemaid,married,primary,no,211,no,no,cellular,31,aug,2,186,3,failure,7.383333333333334,"(48.0, 63.0]",1
44,blue-collar,married,secondary,no,594,no,no,unknown,11,jun,1,0,0,unknown,5.666666666666667,"(33.0, 48.0]",0
41,technician,single,primary,no,340,yes,no,cellular,13,may,1,349,1,failure,4.366666666666666,"(33.0, 48.0]",1
43,technician,divorced,secondary,no,1612,no,no,cellular,25,may,2,353,1,other,4.366666666666666,"(33.0, 48.0]",1
35,management,divorced,tertiary,no,434,yes,no,cellular,13,aug,2,0,0,unknown,21.9,"(33.0, 48.0]",0
37,management,married,tertiary,no,425,yes,no,unknown,20,may,1,0,0,unknown,3.7666666666666666,"(33.0, 48.0]",0
37,management,married,tertiary,no,1330,yes,no,cellular,29,jan,2,261,1,failure,0.6833333333333333,"(33.0, 48.0]",1
27,services,single,secondary,no,261,yes,yes,cellular,18,may,1,0,0,unknown,1.8833333333333333,"(17.925, 33.0]",0
36,admin.,married,secondary,no,1733,no,yes,cellular,22,jul,3,0,0,unknown,3.4,"(33.0, 48.0]",0
29,unemployed,single,tertiary,no,1311,no,no,cellular,28,aug,1,0,0,unknown,10.366666666666667,"(17.925, 33.0]",0
73,retired,divorced,primary,no,2308,no,no,telephone,30,mar,2,0,0,unknown,2.716666666666667,"(63.0, 78.0]",0
34,entrepreneur,married,secondary,no,183,yes,no,cellular,15,may,4,0,0,unknown,5.65,"(33.0, 48.0]",0
49,management,married,tertiary,no,1304,yes,no,unknown,27,may,1,0,0,unknown,2.4,"(48.0, 63.0]",0
48,management,single,tertiary,no,414,no,no,cellular,21,jul,2,0,0,unknown,12.683333333333334,"(33.0, 48.0]",0
28,admin.,married,secondary,no,84,yes,yes,cellular,14,may,1,0,0,unknown,4.783333333333333,"(17.925, 33.0]",0
42,management,single,tertiary,no,3445,no,no,cellular,19,nov,3,0,0,unknown,27.7,"(33.0, 48.0]",0
41,admin.,single,secondary,no,985,yes,no,cellular,30,jun,2,391,11,success,4.566666666666666,"(33.0, 48.0]",1
38,admin.,married,secondary,no,137,yes,no,cellular,31,jul,22,0,0,unknown,0.45,"(33.0, 48.0]",0
40,management,married,tertiary,no,486,yes,yes,cellular,17,nov,2,0,0,unknown,1.15,"(33.0, 48.0]",0
35,blue-collar,married,primary,no,298,yes,no,cellular,13,may,2,370,2,failure,2.25,"(33.0, 48.0]",1
31,blue-collar,single,primary,no,5058,yes,no,unknown,20,may,1,0,0,unknown,2.6166666666666667,"(17.925, 33.0]",0
33,management,married,tertiary,no,594,yes,yes,cellular,9,feb,5,0,0,unknown,0.35,"(17.925, 33.0]",0
56,retired,married,primary,no,9367,no,no,telephone,13,nov,2,92,4,success,4.516666666666667,"(48.0, 63.0]",1
45,technician,married,secondary,no,1410,no,no,cellular,11,aug,2,0,0,unknown,1.1833333333333333,"(33.0, 48.0]",0
35,management,married,tertiary,no,358,no,no,unknown,27,jun,1,0,0,unknown,0.3,"(33.0, 48.0]",0
31,management,single,tertiary,no,1289,yes,no,cellular,12,aug,3,0,0,unknown,4.4,"(17.925, 33.0]",0
81,retired,divorced,unknown,no,9224,no,no,telephone,9,nov,2,0,0,unknown,3.9166666666666665,"(78.0, 93.0]",0
62,self-employed,divorced,tertiary,no,6,yes,no,cellular,13,apr,1,182,3,success,1.7166666666666666,"(48.0, 63.0]",1
37,management,divorced,tertiary,no,0,yes,no,cellular,11,may,6,0,0,unknown,3.6166666666666667,"(33.0, 48.0]",0
34,technician,married,secondary,no,652,yes,yes,cellular,18,jul,4,0,0,unknown,0.8333333333333334,"(33.0, 48.0]",0
44,services,divorced,secondary,no,240,yes,no,unknown,8,may,2,0,0,unknown,2.5833333333333335,"(33.0, 48.0]",0
58,services,married,secondary,no,1301,yes,no,cellular,11,may,1,286,2,failure,4.35,"(48.0, 63.0]",1
50,entrepreneur,married,tertiary,no,2198,no,no,unknown,16,jun,6,0,0,unknown,2.8333333333333335,"(48.0, 63.0]",0
42,management,single,tertiary,no,1608,no,no,cellular,28,aug,21,0,0,unknown,0.21666666666666667,"(33.0, 48.0]",0
34,management,single,tertiary,no,556,yes,no,cellular,20,apr,2,0,0,unknown,2.3833333333333333,"(33.0, 48.0]",0
41,technician,single,secondary,no,-618,yes,yes,cellular,11,jul,1,0,0,unknown,3.5833333333333335,"(33.0, 48.0]",0
34,blue-collar,single,secondary,no,0,yes,no,cellular,10,jul,1,0,0,unknown,5.116666666666666,"(33.0, 48.0]",0
37,management,single,secondary,no,45,no,no,cellular,29,aug,3,0,0,unknown,1.65,"(33.0, 48.0]",0
46,services,divorced,secondary,no,864,yes,no,cellular,17,apr,3,150,7,failure,3.75,"(33.0, 48.0]",1
51,blue-collar,married,primary,no,63,yes,yes,cellular,31,jul,4,0,0,unknown,1.45,"(48.0, 63.0]",0
54,services,married,secondary,no,515,no,yes,unknown,20,jun,2,0,0,unknown,13.75,"(48.0, 63.0]",0
51,technician,married,tertiary,no,2506,no,no,cellular,30,nov,3,0,0,unknown,3.5,"(48.0, 63.0]",0
34,services,single,secondary,no,16,yes,no,cellular,20,nov,1,0,0,unknown,5.666666666666667,"(33.0, 48.0]",0
44,services,married,secondary,no,4786,yes,yes,cellular,12,may,1,0,0,unknown,4.45,"(33.0, 48.0]",0
31,housemaid,married,secondary,no,1,yes,no,unknown,30,may,16,0,0,unknown,1.6833333333333333,"(17.925, 33.0]",0
34,self-employed,married,tertiary,no,980,no,no,cellular,31,aug,2,54,4,failure,1.15,"(33.0, 48.0]",1
38,technician,single,secondary,no,-242,yes,no,cellular,18,may,3,278,6,success,19.55,"(33.0, 48.0]",1
31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,4,0,0,unknown,21.2,"(17.925, 33.0]",0
37,blue-collar,divorced,secondary,yes,-54,yes,no,cellular,10,jul,6,0,0,unknown,9.55,"(33.0, 48.0]",0
